nodeid,x,y
0,0.0,0.0
1,-214.54277453324212,196.5387558515192
2,44.05842396012734,-502.02301665003733
3,395.8503525426625,516.3166873850515
4,-758.0327944286897,-134.08532791929278
5,736.4900012376363,-468.4946530983554
6,-250.51706889555598,931.9110093828223
7,-483.519610352118,-930.9875868850434
8,1058.4951868605788,386.5607445593232
9,-1108.8885716160403,457.7330825850115
10,537.5439441395011,-1148.7001856814322
11,399.045152593164,1272.2188270771962
12,-1207.2998448232001,-699.6549376512855
13,1420.8541784383096,-312.370805320396
14,-869.5139663875972,1236.7941413069493
15,-201.35728321458356,-1553.8602573986173
16,1238.7168877276151,1043.9919043733225
17,-1669.9944841366225,69.05951494217635
18,1220.126451955157,-1214.1887844162795
19,-81.75070536441196,1767.934375039852
20,-1164.1858477851415,-1395.0837298901072
21,1846.3970192236889,248.4301074776309
22,-1566.1434209701415,1089.681799959778
23,428.3837685167761,-1904.208800629588
24,991.7276744427156,1730.697026801751
25,-1940.3496735740107,-619.0244683446513
26,1886.2537402839966,-871.4970709789849
27,-817.7546979432343,1953.983045157828
28,-730.3110594209885,-2030.450790482756
29,1944.4766847607543,1021.9624493192746
30,-2161.066334244449,569.6501502714203
31,1229.0257857615366,-1911.4174797658413
32,391.1575151576754,2276.0336402762164
33,-1854.6215760081186,-1436.323192199675
34,2373.4557029328475,-196.63595340937408
35,-1641.2477987779055,1774.1407791594556
36,11.95982252502506,-2451.6196632486003
37,1670.2657384094796,1841.2241968292765
38,-2509.010569712784,-232.53453566272896
39,2033.7269399078268,-1543.5262396252506
40,-462.8665886239513,2544.324116335479
41,-1394.6888285689874,-2216.3000538301944
42,2556.47807052948,700.624650834449
43,-2386.577028224568,1224.7519275828822
44,943.3861506077263,-2544.6221597559243
45,1034.9385806767039,2542.300861152831
46,-2508.1462306120525,-1188.6573053535049
47,2681.3437972245424,-826.6869504844891
48,-1433.8943684989965,2446.686531273449
49,-601.6386892660482,-2801.7264497481624
50,2360.130000541778,1676.5258010227717
51,-2901.6360358902853,361.6253109054521
52,1913.9750949846145,-2248.616475825825
53,108.65269914461578,2979.443484924237
54,-2112.538759220677,-2143.6839900021223
55,3033.7192062286267,155.116102557983
56,-2363.1358337877937,1952.540506082644
57,427.3796632137551,-3063.247327528233
58,1769.5119245080398,2569.8788462636885
59,-3067.0382361051793,-705.7183312276459
60,2761.5490545047774,-1564.5832971235004
61,-987.6156182481436,3044.339277081085
62,-1339.1163586883051,-2935.892673547823
63,2994.643483841493,1270.4806124834286
64,-3090.7877164227275,1094.6935842203204
65,1551.6712255035104,-2917.696236515953
66,833.1054626574594,3224.264625932151
67,-2813.4997652857232,-1828.5180693655834
68,3334.525730913518,-556.3358504061167
69,-2098.348755207241,2682.315436223678
70,-266.54551741752715,-3419.9633410813612
71,2524.6637783665515,2358.512400372715
72,-3479.1763071109613,-33.945984414102824
73,2606.404128744263,-2341.322231730852
74,-342.679984823209,3510.9848863881507
75,-2133.320616920128,-2839.4893483124984
76,3514.4437697775293,657.0797304290334
77,-3055.3275911596306,1901.9343477311832
78,974.4726182513144,-3488.853140785887
79,1648.6754286196854,3251.595703969205
80,-3433.7676555303337,-1292.1134424465874
81,3426.11018189801,-1375.2812989073957
82,-1607.2084592314914,3349.003249851593
83,-1083.7016050553,-3576.8484451335835
84,3234.641698619289,1916.940066647744
85,-3701.968865664947,776.0830010544545
86,2218.491889267175,-3091.0328716217546
87,454.75209485056297,3799.829361659766
88,-2918.794650266132,-2509.0740531902647
89,3869.004388289211,-122.19667559231459
90,-2785.94843377724,2718.810489492289
91,223.74108686713444,-3993.737588531264
92,2532.7512646770424,3095.9927376007918
93,-3958.8850038398714,-572.0397943952756
94,3305.565922767989,-2252.3840547817363
95,-915.957867930777,3893.7156013473436
96,-1954.7682718816686,-3489.8253542612642
97,3798.728443011747,1252.8616109744721
98,-3647.359988413844,1642.183033318078
99,1580.1710421972714,-3674.6509327283293
100,1317.0220913001829,3776.9634378727173
101,-1945.148286901672,-476.00868833969565
102,2186.587910084427,-2455.325275174407
103,-1381.90517401226,-3329.8380008847066
104,-1423.2619062864783,-1678.9605655748226
105,949.9863662123123,-2569.844936234821
